Company Name,Job Title,Salaries Reported,Location,Salary,Currency,Sal,freq,Tot_sal,Company Name_preprocessed,Job Title_preprocessed,Location_preprocessed,Company_Title,Location_Title
Mu Sigma,Data Scientist,105.0,Bangalore,"₹6,48,573/yr",₹,648573,yr,648573,musigma,datascientist,bangalore,musigmadatascientist,bangaloredatascientist
IBM,Data Scientist,95.0,Bangalore,"₹11,91,950/yr",₹,1191950,yr,1191950,ibm,datascientist,bangalore,ibmdatascientist,bangaloredatascientist
Tata Consultancy Services,Data Scientist,66.0,Bangalore,"₹8,36,874/yr",₹,836874,yr,836874,tataconsultancyservices,datascientist,bangalore,tataconsultancyservicesdatascientist,bangaloredatascientist
Impact Analytics,Data Scientist,40.0,Bangalore,"₹6,69,578/yr",₹,669578,yr,669578,impactanalytics,datascientist,bangalore,impactanalyticsdatascientist,bangaloredatascientist
Accenture,Data Scientist,32.0,Bangalore,"₹9,44,110/yr",₹,944110,yr,944110,accenture,datascientist,bangalore,accenturedatascientist,bangaloredatascientist
Infosys,Data Scientist,30.0,Bangalore,"₹9,08,764/yr",₹,908764,yr,908764,infosys,datascientist,bangalore,infosysdatascientist,bangaloredatascientist
Capgemini,Data Scientist,28.0,Bangalore,"₹9,26,124/yr",₹,926124,yr,926124,capgemini,datascientist,bangalore,capgeminidatascientist,bangaloredatascientist
Cognizant Technology Solutions,Data Scientist,26.0,Bangalore,"₹7,36,708/yr",₹,736708,yr,736708,cognizanttechnologysolutions,datascientist,bangalore,cognizanttechnologysolutionsdatascientist,bangaloredatascientist
Anheuser-Busch InBev,Data Scientist,25.0,Bangalore,"₹16,46,721/yr",₹,1646721,yr,1646721,anheuserbuschinbev,datascientist,bangalore,anheuserbuschinbevdatascientist,bangaloredatascientist
Fractal,Data Scientist,22.0,Bangalore,"₹13,92,960/yr",₹,1392960,yr,1392960,fractal,datascientist,bangalore,fractaldatascientist,bangaloredatascientist
Embibe,Data Scientist,20.0,Bangalore,"₹14,04,773/yr",₹,1404773,yr,1404773,embibe,datascientist,bangalore,embibedatascientist,bangaloredatascientist
Amazon,Data Scientist,19.0,Bangalore,"₹15,07,343/yr",₹,1507343,yr,1507343,amazon,datascientist,bangalore,amazondatascientist,bangaloredatascientist
Google,Data Scientist,19.0,Bangalore,"₹15,58,095/yr",₹,1558095,yr,1558095,google,datascientist,bangalore,googledatascientist,bangaloredatascientist
Flipkart,Data Scientist,18.0,Bangalore,"₹25,57,843/yr",₹,2557843,yr,2557843,flipkart,datascientist,bangalore,flipkartdatascientist,bangaloredatascientist
HP Inc.,Data Scientist,16.0,Bangalore,"₹15,10,081/yr",₹,1510081,yr,1510081,hpinc,datascientist,bangalore,hpincdatascientist,bangaloredatascientist
Wipro,Data Scientist,15.0,Bangalore,"₹7,32,821/yr",₹,732821,yr,732821,wipro,datascientist,bangalore,wiprodatascientist,bangaloredatascientist
Ericsson-Worldwide,Data Scientist,15.0,Bangalore,"₹12,21,750/yr",₹,1221750,yr,1221750,ericssonworldwide,datascientist,bangalore,ericssonworldwidedatascientist,bangaloredatascientist
MiQ,Data Scientist,15.0,Bangalore,"₹17,39,484/yr",₹,1739484,yr,1739484,miq,datascientist,bangalore,miqdatascientist,bangaloredatascientist
Deloitte,Data Scientist,14.0,Bangalore,"₹11,24,939/yr",₹,1124939,yr,1124939,deloitte,datascientist,bangalore,deloittedatascientist,bangaloredatascientist
Microsoft,Data Scientist,14.0,Bangalore,"₹16,30,396/yr",₹,1630396,yr,1630396,microsoft,datascientist,bangalore,microsoftdatascientist,bangaloredatascientist
Genpact,Data Scientist,14.0,Bangalore,"₹10,09,436/yr",₹,1009436,yr,1009436,genpact,datascientist,bangalore,genpactdatascientist,bangaloredatascientist
Fresher,Data Scientist,14.0,Bangalore,"₹5,50,980/yr",₹,550980,yr,550980,fresher,datascientist,bangalore,fresherdatascientist,bangaloredatascientist
Société Générale,Data Scientist,13.0,Bangalore,"₹18,70,000/yr",₹,1870000,yr,1870000,sociétégénérale,datascientist,bangalore,sociétégénéraledatascientist,bangaloredatascientist
Flutura,Data Scientist,13.0,Bangalore,"₹7,58,376/yr",₹,758376,yr,758376,flutura,datascientist,bangalore,fluturadatascientist,bangaloredatascientist
Fuzzy Logix,Data Scientist,13.0,Bangalore,"₹15,56,575/yr",₹,1556575,yr,1556575,fuzzylogix,datascientist,bangalore,fuzzylogixdatascientist,bangaloredatascientist
DXC Technology,Data Scientist,12.0,Bangalore,"₹11,94,327/yr",₹,1194327,yr,1194327,dxctechnology,datascientist,bangalore,dxctechnologydatascientist,bangaloredatascientist
Jio,Data Scientist,11.0,Bangalore,"₹14,70,000/yr",₹,1470000,yr,1470000,jio,datascientist,bangalore,jiodatascientist,bangaloredatascientist
Honeywell,Data Scientist,10.0,Bangalore,"₹15,49,942/yr",₹,1549942,yr,1549942,honeywell,datascientist,bangalore,honeywelldatascientist,bangaloredatascientist
Affine,Data Scientist,10.0,Bangalore,"₹10,09,436/yr",₹,1009436,yr,1009436,affine,datascientist,bangalore,affinedatascientist,bangaloredatascientist
Philips,Data Scientist,9.0,Bangalore,"₹15,41,572/yr",₹,1541572,yr,1541572,philips,datascientist,bangalore,philipsdatascientist,bangaloredatascientist
Bharat Light & Power,Data Scientist,9.0,Bangalore,"₹8,11,182/yr",₹,811182,yr,811182,bharatlightpower,datascientist,bangalore,bharatlightpowerdatascientist,bangaloredatascientist
Antuit,Data Scientist,9.0,Bangalore,"₹12,05,874/yr",₹,1205874,yr,1205874,antuit,datascientist,bangalore,antuitdatascientist,bangaloredatascientist
